timestamp,stage,taskId,durationMs,queueSize,workerId
1772826822751,DECODE,47000ms,830,0,DefaultDispatcher-worker-11
1772826822751,PROCESS,47000ms,0,0,DefaultDispatcher-worker-11
1772826822816,DECODE,63000ms,786,0,DefaultDispatcher-worker-10
1772826822817,PROCESS,63000ms,0,0,DefaultDispatcher-worker-10
1772826823004,DECODE,21000ms,870,0,DefaultDispatcher-worker-34
1772826823005,PROCESS,21000ms,0,0,DefaultDispatcher-worker-34
1772826823053,DECODE,55000ms,801,0,DefaultDispatcher-worker-62
1772826823054,PROCESS,55000ms,0,0,DefaultDispatcher-worker-62
1772826823137,DECODE,65000ms,803,0,DefaultDispatcher-worker-14
1772826823137,PROCESS,65000ms,0,0,DefaultDispatcher-worker-14
1772826823246,DECODE,68000ms,615,0,DefaultDispatcher-worker-4
1772826823246,PROCESS,68000ms,0,0,DefaultDispatcher-worker-4
1772826823319,DECODE,72000ms,579,0,DefaultDispatcher-worker-9
1772826823319,PROCESS,72000ms,0,0,DefaultDispatcher-worker-9
1772826823400,DECODE,67000ms,580,0,DefaultDispatcher-worker-35
1772826823400,PROCESS,67000ms,0,0,DefaultDispatcher-worker-35
1772826823477,DECODE,26000ms,608,0,DefaultDispatcher-worker-11
1772826823478,PROCESS,26000ms,0,0,DefaultDispatcher-worker-11
1772826823594,DECODE,58000ms,527,0,DefaultDispatcher-worker-40
1772826823594,PROCESS,58000ms,0,0,DefaultDispatcher-worker-40
1772826823651,DECODE,66000ms,529,0,DefaultDispatcher-worker-34
1772826823652,PROCESS,66000ms,0,0,DefaultDispatcher-worker-34
1772826823763,DECODE,56000ms,567,0,DefaultDispatcher-worker-14
1772826823763,PROCESS,56000ms,0,0,DefaultDispatcher-worker-14
1772826823856,DECODE,69000ms,561,0,DefaultDispatcher-worker-7
1772826823856,PROCESS,69000ms,0,0,DefaultDispatcher-worker-7
1772826823930,DECODE,70000ms,563,0,DefaultDispatcher-worker-9
